Program,File,Depth,Average Throughput Rate (MB/s)
DT_generator,math.json,8,6.13515625
DT_generator,math.json,16,5.56015625
DT_generator,math.json,32,5.36640625
DT_generator,math.json,64,5.30390625
DT_generator,math.json,128,5.33515625
DT_generator,recursive.json,8,7.71328125
DT_generator,recursive.json,16,7.78203125
DT_generator,recursive.json,32,7.75703125
DT_generator,recursive.json,64,7.75703125
DT_generator,recursive.json,128,7.70390625
DT_generator,simple_grammar.json,8,12.06953125
DT_generator,simple_grammar.json,16,12.03515625
DT_generator,simple_grammar.json,32,12.11015625
DT_generator,simple_grammar.json,64,12.05703125
DT_generator,simple_grammar.json,128,12.03828125
DT_generator,css.json,8,12.56015625
DT_generator,css.json,16,6.64765625
DT_generator,css.json,32,4.43515625
DT_generator,css.json,64,4.00703125
DT_generator,css.json,128,3.99765625
DT_generator,html.json,8,16.05703125
DT_generator,html.json,16,9.51640625
DT_generator,html.json,32,6.20078125
DT_generator,html.json,64,5.61328125
DT_generator,html.json,128,5.46953125
DT_generator,regular_expression.json,8,4.48203125
DT_generator,regular_expression.json,16,3.73203125
DT_generator,regular_expression.json,32,3.21640625
DT_generator,regular_expression.json,64,2.99453125
DT_generator,regular_expression.json,128,2.91953125
DT_generator_c,math.json,8,87.18515625
DT_generator_c,math.json,16,76.65078125
DT_generator_c,math.json,32,78.46328125
DT_generator_c,math.json,64,78.22890625
DT_generator_c,math.json,128,10.490625
DT_generator_c,recursive.json,8,73.91953125
DT_generator_c,recursive.json,16,76.89140625
DT_generator_c,recursive.json,32,77.19140625
DT_generator_c,recursive.json,64,75.56953125
DT_generator_c,recursive.json,128,76.63515625
DT_generator_c,simple_grammar.json,8,73.51328125
DT_generator_c,simple_grammar.json,16,75.26328125
DT_generator_c,simple_grammar.json,32,73.55703125
DT_generator_c,simple_grammar.json,64,74.30078125
DT_generator_c,simple_grammar.json,128,75.61328125
DT_generator_c,css.json,8,222.24765625
DT_generator_c,css.json,16,120.76015625
DT_generator_c,css.json,32,69.75390625
DT_generator_c,css.json,64,61.94765625
DT_generator_c,css.json,128,63.28828125
DT_generator_c,html.json,8,307.24609375
DT_generator_c,html.json,16,197.47890625
DT_generator_c,html.json,32,101.08828125
DT_generator_c,html.json,64,88.45390625
DT_generator_c,html.json,128,84.75703125
DT_generator_c,regular_expression.json,8,59.90390625
DT_generator_c,regular_expression.json,16,50.66015625
DT_generator_c,regular_expression.json,32,43.58203125
DT_generator_c,regular_expression.json,64,42.52890625
DT_generator_c,regular_expression.json,128,42.18828125
DT_generator_CPS,math.json,8,6.80703125
DT_generator_CPS,math.json,16,6.11953125
DT_generator_CPS,math.json,32,5.96015625
DT_generator_CPS,math.json,64,5.90703125
DT_generator_CPS,math.json,128,5.89140625
DT_generator_CPS,recursive.json,8,8.81953125
DT_generator_CPS,recursive.json,16,8.77578125
DT_generator_CPS,recursive.json,32,8.76328125
DT_generator_CPS,recursive.json,64,8.71953125
DT_generator_CPS,recursive.json,128,8.76640625
DT_generator_CPS,simple_grammar.json,8,13.64453125
DT_generator_CPS,simple_grammar.json,16,13.71953125
DT_generator_CPS,simple_grammar.json,32,13.71328125
DT_generator_CPS,simple_grammar.json,64,13.71640625
