Program,File,Depth,Average Throughput Rate (MB/s)
context,math.json,8,44.3119140625
context,math.json,16,39.5595703125
context,math.json,32,39.1458984375
context,math.json,64,39.2626953125
context,recursive.json,8,47.2580078125
context,recursive.json,16,46.8626953125
context,recursive.json,32,42.2861328125
context,recursive.json,64,44.8650390625
context,recursive.json,128,46.6392578125
context,query.json,8,161.2513671875
context,query.json,16,121.6025390625
context,query.json,32,110.1009765625
context,query.json,64,105.9970703125
context,control_flow.json,8,84.3103515625
context,control_flow.json,16,64.6462890625
context,control_flow.json,32,47.8697265625
context,control_flow.json,64,44.0853515625
context,programming.json,8,114.3244140625
context,programming.json,16,62.7736328125
context,programming.json,32,37.8166015625
context,programming.json,64,31.8478515625
context,programming.json,128,29.7986328125
context,json.json,8,51.4783203125
context,json.json,16,47.5166015625
context,json.json,32,46.3744140625
context,json.json,64,46.4603515625
context,json.json,128,46.4619140625
context,css.json,8,127.4978515625
context,css.json,16,62.4876953125
context,css.json,32,36.8619140625
context,css.json,64,33.5408203125
context,css.json,128,33.3900390625
context,if-else.json,8,75.4408203125
context,if-else.json,16,42.2642578125
context,if-else.json,32,33.6064453125
context,if-else.json,64,32.0923828125
context,if-else.json,128,31.7892578125
context,html.json,8,200.5220703125
context,html.json,16,102.5119140625
context,html.json,32,55.9087890625
context,html.json,64,49.5533203125
context,html.json,128,48.2228515625
context,regular_expression.json,8,33.1228515625
context,regular_expression.json,16,26.7666015625
context,regular_expression.json,32,22.5548828125
context,regular_expression.json,64,21.4228515625
context,regular_expression.json,128,20.8806640625
IDT,math.json,8,36.4001953125
IDT,math.json,16,33.4712890625
IDT,math.json,32,31.475390625
IDT,math.json,64,33.4205078125
IDT,recursive.json,8,39.2595703125
IDT,recursive.json,16,38.4134765625
IDT,recursive.json,32,40.1400390625
IDT,recursive.json,64,39.8580078125
IDT,recursive.json,128,39.1728515625
IDT,query.json,8,123.5408203125
IDT,query.json,16,98.8111328125
IDT,query.json,32,90.7791015625
IDT,query.json,64,87.0267578125
IDT,control_flow.json,8,80.5384765625
IDT,control_flow.json,16,61.6994140625
IDT,control_flow.json,32,47.8681640625
IDT,control_flow.json,64,43.5392578125
IDT,programming.json,8,90.7134765625
IDT,programming.json,16,45.1759765625
IDT,programming.json,32,29.8212890625
IDT,programming.json,64,26.7923828125
IDT,programming.json,128,23.9314453125
IDT,json.json,8,39.2775390625
IDT,json.json,16,36.6408203125
IDT,json.json,32,37.5494140625
IDT,json.json,64,38.1103515625
IDT,json.json,128,36.9126953125
IDT,css.json,8,103.0298828125
IDT,css.json,16,47.6181640625
IDT,css.json,32,28.3322265625
IDT,css.json,64,26.0251953125
IDT,css.json,128,25.3658203125
IDT,if-else.json,8,62.9353515625
IDT,if-else.json,16,32.4626953125
IDT,if-else.json,32,27.0080078125
IDT,if-else.json,64,25.9822265625
IDT,if-else.json,128,25.8236328125
IDT,html.json,8,162.8166015625
IDT,html.json,16,77.2033203125
IDT,html.json,32,37.6798828125
IDT,html.json,64,33.7994140625
IDT,html.json,128,34.7611328125
IDT,regular_expression.json,8,26.3392578125
IDT,regular_expression.json,16,21.2845703125
IDT,regular_expression.json,32,17.2384765625
IDT,regular_expression.json,64,16.8603515625
IDT,regular_expression.json,128,16.6517578125
switch,math.json,8,39.1876953125
switch,math.json,16,32.4884765625
switch,math.json,32,33.1298828125
switch,math.json,64,30.0814453125
switch,recursive.json,8,38.4345703125
switch,recursive.json,16,41.5744140625
switch,recursive.json,32,41.4205078125
switch,recursive.json,64,41.4705078125
switch,recursive.json,128,41.8470703125
switch,query.json,8,138.7662109375
switch,query.json,16,101.4267578125
switch,query.json,32,92.6525390625
switch,query.json,64,98.1291015625
switch,control_flow.json,8,93.0033203125
switch,control_flow.json,16,66.3126953125
switch,control_flow.json,32,45.6595703125
switch,control_flow.json,64,44.3220703125
switch,json.json,8,54.2556640625
switch,json.json,16,49.4947265625
switch,json.json,32,48.4064453125
switch,json.json,64,48.4994140625
switch,json.json,128,48.3837890625
switch,css.json,8,131.2283203125
switch,css.json,16,65.4962890625
switch,css.json,32,35.8923828125
switch,css.json,64,32.6548828125
switch,css.json,128,32.6291015625
switch,if-else.json,8,81.6236328125
switch,if-else.json,16,43.2431640625
switch,if-else.json,32,34.1814453125
switch,if-else.json,64,32.5923828125
switch,if-else.json,128,32.6478515625
switch,html.json,8,211.0845703125
switch,html.json,16,107.2595703125
switch,html.json,32,54.3619140625
switch,html.json,64,27.7244140625
switch,html.json,128,2.8134765625
switch,regular_expression.json,8,29.4837890625
switch,regular_expression.json,16,24.3525390625
switch,regular_expression.json,32,18.9298828125
switch,regular_expression.json,64,18.3041015625
switch,regular_expression.json,128,17.7572265625
subroutine,math.json,8,46.9822265625
subroutine,math.json,16,35.2587890625
subroutine,math.json,32,44.6205078125
subroutine,math.json,64,44.9900390625
subroutine,recursive.json,8,42.2111328125
subroutine,recursive.json,16,43.4251953125
subroutine,recursive.json,32,42.3376953125
subroutine,recursive.json,64,41.1970703125
subroutine,recursive.json,128,41.9509765625
subroutine,query.json,8,151.4501953125
subroutine,query.json,16,131.9244140625
subroutine,query.json,32,124.079296875
subroutine,query.json,64,121.9322265625
subroutine,control_flow.json,8,125.8666015625
subroutine,control_flow.json,16,86.9056640625
subroutine,control_flow.json,32,67.4759765625
subroutine,control_flow.json,64,58.8619140625
subroutine,programming.json,8,112.6158203125
subroutine,programming.json,16,70.0947265625
subroutine,programming.json,32,42.3994140625
subroutine,programming.json,64,35.2955078125
subroutine,programming.json,128,33.5767578125
subroutine,json.json,8,45.6681640625
subroutine,json.json,16,41.5697265625
subroutine,json.json,32,41.3306640625
subroutine,json.json,64,41.3720703125
subroutine,json.json,128,42.7009765625
subroutine,css.json,8,129.8767578125
subroutine,css.json,16,70.1369140625
subroutine,css.json,32,43.4478515625
subroutine,css.json,64,38.7673828125
subroutine,css.json,128,38.8337890625
subroutine,if-else.json,8,88.0697265625
subroutine,if-else.json,16,46.6166015625
subroutine,if-else.json,32,36.5126953125
subroutine,if-else.json,64,34.9345703125
subroutine,if-else.json,128,35.0455078125
subroutine,html.json,8,195.9322265625
subroutine,html.json,16,112.4392578125
subroutine,html.json,32,64.0673828125
subroutine,html.json,64,56.4642578125
subroutine,html.json,128,53.6712890625
subroutine,regular_expression.json,8,30.7509765625
subroutine,regular_expression.json,16,28.5048828125
subroutine,regular_expression.json,32,23.9048828125
subroutine,regular_expression.json,64,21.5416015625
subroutine,regular_expression.json,128,20.9166015625
baresubroutine,math.json,8,33.8447265625
baresubroutine,math.json,16,33.5298828125
baresubroutine,math.json,32,32.6603515625
baresubroutine,math.json,64,33.5228515625
baresubroutine,recursive.json,8,62.8345703125
baresubroutine,recursive.json,16,61.1939453125
baresubroutine,recursive.json,32,61.8580078125
baresubroutine,recursive.json,64,58.3916015625
baresubroutine,recursive.json,128,59.0673828125
baresubroutine,query.json,8,214.8408203125
